database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	modifications	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
69867				I3COOH				3,1333333333			PubChem									
10103438				6HO-I3CHO				3,5333333333			PubChem									
9815282				4HO-I3CHO				5,0833333333			PubChem									
10256				I3CHO				4,9833333333			PubChem									
82758				5MeO-I3CHO				5,1166666667			PubChem									
5324534				5HO-I3CHO				5,4833333333			PubChem									
146229				4MeO-I3CHO				5,75			PubChem									
589098				I3COOMe				6,85			PubChem									
854040				1-Me-I3COOH				5,75			PubChem									
351795				IAN				6,65			PubChem									
5281416				Esculetin				3,4166666667			PubChem									
5381226				Rifampicin				7,8666666667			PubChem									
5280802				trans-3,5-Dimethoxy-4-hydroxycinnamaldehyde				5,2166666667			PubChem									
12802				3-Acetylindole				5,3			PubChem									
5280343				Quercetin Dihydrate				6,25			PubChem									
5280863				Kaempferol				7,05			PubChem									
6675				Taurocholic acid sodium salt				7,1333333333			PubChem									
72276				Epicatechin				3,7666666667			PubChem									
637775				Sinapinsäure				4,6166666667			PubChem									
6436550				Hesperidin methyl chalcone				5,7			PubChem									
444539				Zimtsäure				6,3			PubChem									
5281607				Chrysin				8,5333333333			PubChem									
73160				Catechin				3,25			PubChem									
1794427				Chlorogenic acid				3,25			PubChem									
5281404				Harmane				4,0666666667			PubChem									
12560				Erythromycin				6,4166666667			PubChem									
4788				Phloretin				6,8833333333			PubChem									
6466				Gibberellic acid				4,6			PubChem									
4114				Xanthotoxin							PubChem									
5770				Reserpine				7,6			PubChem									
279817				S-Propylglutatione				2,7333333333			PubChem									
138387				4-Hydroxy-3,5-dimethylbenzoic acid				4,8166666667			PubChem									
717531				3,4 Dimethoxyzimtsäure				5,7			PubChem									
5280373				Biochanin A				8,9			PubChem									
78360				15-Hydroxypentadecanoic acid				10,25			PubChem									
72				3,4 Dihydroxybenzoic acid				2			PubChem									
3830				Kinetin				3,1166666667			PubChem									
11370				o-Anisic acid				4,5833333333			PubChem									
6072				Phlorizin				5,4166666667			PubChem									
12305761				Aloin				5,65			PubChem									
446641				N-(3-Indolylacetyl)-valine				6,3166666667			PubChem									
1001				Phenethylamine				NA			PubChem									
524508				6-Hydroxyindole				NA			PubChem									
5281672				Myricetin				5,4			PubChem									
5281654				Isorhamnetin				7,2			PubChem									
5281417				Esculin				2,8333333333			PubChem									
8655				Syringaldehyde				4,3833333333			PubChem									
5280805				Rutin				4,5166666667			PubChem									
445858				Ferulic acid				4,55			PubChem									
5486549				Sinigrin				0,5			PubChem									
681				3-Hydroxytyramine				0,5			PubChem									
5280536				4-Hydroxy-3-methoxycinnamaldehyde				5,2			PubChem									
3260292				S-Decylglutathione				8,1			PubChem									
102213				2-O-Methyladenosine				NA			PubChem									
6057				Tyrosine				NA			PubChem									
1662				3-Hydroxy-3-methylglutaric acid				0,5			PubChem									
6106				Leucine				0,8166666667			PubChem									
10921447				6-Phosphonohexanoic acid				1,15			PubChem									
6140				Phenylalanine				1,3166666667			PubChem									
94244				Leu-Leu				3,6166666667			PubChem									
6305				Tryptophan				2,5166666667			PubChem									
637542				p-Coumaric acid1				4,25			PubChem									
10465				Heptadecanoic acid				16,1166666667			PubChem									
1175				Harnsaeure				0,7			PubChem									
4656408				N-(3-Indolylacetyl)aspartic acid				4,1			PubChem									
5326566				Lumichrome				5,2			PubChem									
10459				Hexadecanedioic acid				10,6			PubChem									
1017				Phtalsaeure				3,2			PubChem									
5280896				Abscisinsaeure				6			PubChem									
70095				Octadecanedioic acid				12			PubChem									
60961				Adenosin				0,8			PubChem									
689043				Kaffeesaeure				3,5			PubChem									
1491				2,4 Dihydroxybenzoesaure				3,4			PubChem									
6083				Adenosinmonophosphat				0,7			PubChem									
72924				6-Hydroxy-pyridin-3-carboxylsaeure				0,9			PubChem									
289				Catechol				2,7			PubChem									
222528				Deoxycholic acid				10,5			PubChem									
135				4-Hydroxybenzoic acid				2,95			PubChem									
20984				3,3 Dimethylglutaric acid				3,3833333333			PubChem									
5273569				7,8-Dihydroxy-6-methoxycoumarin				4			PubChem									
3848				3-Phenyllactic acid				4,3			PubChem									
15816				Undecanedioic acid				6,9666666667			PubChem									
